Sl.NO.,PLAYING ROLE,BAT,BOW,ALL,BAT*SR,BOW*ECO,BOW*SR-BL,BAT*RUN-S,BOW*WK-I,BAT*T-RUNS,BAT*ODI-RUNS,BOW*WK-O,T-RUNS,T-WKTS,ALL*SR-B,ALL*SR-BL,ALL*ECON,RUNS-S,AVE,SIXERS,RUNS-C,WKTS,ECON,SR -BL,Year,Base Price,Sold Price
1,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.93333333,8.898550725,0,0,0,307,15,8.898550725,13.93333333,2009,50000,50000
2,Bowler,0,1,0,0,14.5,0,0,0,0,0,185,214,18,0,0,0,0,0,0,29,0,14.5,0,2008,50000,50000
3,Bowler,0,1,0,0,8.81031614,24.89655172,0,29,0,0,288,571,58,0,0,0,167,18.55555556,5,1059,29,8.81031614,24.89655172,2008,200000,350000
4,Bowler,0,1,0,0,6.232686981,22.14285714,0,49,0,0,51,284,31,0,0,0,58,5.8,0,1125,49,6.232686981,22.14285714,2011,100000,850000
5,Batsman,1,0,0,120.7149404,0,0,1317,0,63,79,0,63,0,0,0,0,1317,32.925,28,0,0,0,0,2011,100000,800000
6,Batsman,1,0,0,95.45454545,0,0,63,0,0,172,0,0,0,0,0,0,63,21,0,0,0,0,0,2009,50000,50000
7,Bowler,0,1,0,0,7.983343248,19.40384615,0,52,0,0,34,51,27,0,0,0,26,4.333333333,1,1342,52,7.983343248,19.40384615,2011,100000,500000
8,Bowler,0,1,0,0,7.21875,15.56756757,0,37,0,0,62,54,50,0,0,0,21,21,1,693,37,7.21875,15.56756757,2011,200000,700000
9,Allrounder,0,0,1,0,0,0,0,0,0,0,0,83,17,114.7260274,28.10526316,6.853932584,335,30.45454545,3,610,19,6.853932584,28.10526316,2011,200000,950000
10,Batsman,1,0,0,127.5080906,0,0,394,0,5515,4686,0,5515,1,0,0,0,394,28.14285714,13,0,0,0,0,2008,200000,450000
11,Allrounder,0,0,1,0,0,0,0,0,0,0,0,2200,86,127.1212121,21.10638298,8.118932039,839,27.96666667,38,1338,47,8.118932039,21.10638298,2011,200000,200000
12,Batsman,1,0,0,80.64,0,0,25,0,9918,8778,0,9918,9,0,0,0,25,8.33,0,0,0,0,0,2008,200000,200000
13,Allrounder,0,0,1,0,0,0,0,0,0,0,0,5,3,113.0872483,100.2,38.11,337,13.48,9,1819,73,38.11,100.2,2008,125000,400000
14,Batsman,1,0,0,128.5291214,0,0,1302,0,5457,4998,0,5457,2,0,0,0,1302,34.26315789,42,0,0,0,0,2008,200000,300000
15,Batsman,1,0,0,122.319301,0,0,1540,0,0,69,0,0,0,0,0,0,1540,31.42857143,36,66,4,8.25,12,2011,100000,300000
16,Batsman,1,0,0,136.4471669,0,0,1782,0,3509,6773,0,3509,0,0,0,0,1782,37.125,64,0,0,0,0,2008,400000,1500000
17,Allrounder,0,0,1,0,0,0,0,0,0,0,0,4722,32,117.833698,53,8.072562358,1077,28.34210526,24,356,5,8.072562358,53,2008,150000,250000
18,Bowler,0,1,0,0,7.285601888,21.19444444,0,36,0,0,5,0,0,0,0,0,6,1,0,926,36,7.285601888,21.19444444,2011,100000,375000
19,Batsman,1,0,0,116.8840082,0,0,1703,0,13288,10889,0,13288,1,0,0,0,1703,27.91803279,23,0,0,0,0,2011,400000,500000
20,Batsman,1,0,0,119.2682927,0,0,978,0,654,2536,0,654,11,0,0,0,978,36.22222222,35,377,10,7.113207547,31.8,2009,300000,300000
21,Bowler,0,1,0,0,6.6,28,0,5,0,0,60,380,157,0,0,0,4,4,0,154,5,6.6,28,2009,150000,150000
22,Bowler,0,1,0,0,7.641025641,13.76470588,0,17,0,0,187,249,97,0,0,0,4,0,0,298,17,7.641025641,13.76470588,2008,150000,150000
23,Batsman,1,0,0,118.78,0,0,196,0,7172,8037,0,7172,0,0,0,0,196,21.77,3,0,0,0,0,2008,350000,350000
24,Allrounder,0,0,1,0,0,0,0,0,0,0,0,3845,226,116.98,33,9.545454545,62,31,2,105,2,9.545454545,33,2009,950000,1550000
25,Batsman,1,0,0,128.9013733,0,0,2065,0,3712,4819,0,3712,0,0,0,0,2065,33.30645161,32,0,0,0,0,2008,220000,725000
26,Batsman,1,0,0,106.8091845,0,0,1349,0,7212,11363,0,7212,32,0,0,0,1349,25.45283019,42,363,10,7.891304348,27.6,2011,200000,400000
27,Allrounder,0,0,1,0,0,0,0,0,0,0,0,6373,72,161.793722,34.84615385,8.047808765,1804,50.11111111,129,606,13,8.047808765,34.84615385,2008,250000,800000
28,Batsman,1,0,0,109.7893432,0,0,886,0,6167,8094,0,6167,0,0,0,0,886,27.6875,31,0,0,0,0,2008,250000,575000
29,Batsman,1,0,0,140.2053712,0,0,1775,0,5570,9619,0,5570,0,0,0,0,1775,27.734375,86,0,0,0,0,2008,300000,700000
30,Bowler,0,1,0,0,8.466101695,23.6,0,30,0,0,2,0,0,0,0,0,54,9,5,999,30,8.466101695,23.6,2011,50000,290000
31,Bowler,0,1,0,0,6.854876342,23.83333333,0,54,0,0,259,2164,406,0,0,0,430,16.53846154,22,1469,54,6.854876342,23.83333333,2008,250000,850000
32,Bowler,0,1,0,0,7.713607595,17.27272727,0,44,0,0,44,199,46,0,0,0,115,10.45454545,3,975,44,7.713607595,17.27272727,2011,200000,325000
33,Batsman,1,0,0,137.515528,0,0,1107,0,8625,6133,0,8625,0,0,0,0,1107,36.9,44,0,0,0,0,2008,225000,375000
34,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,68.75,36,6.66,11,5.5,1,40,1,6.66,36,2009,100000,650000
